processor_name,category,feat.total_cores,feat.total_threads,feat.max_turbo_ghz,feat.base_freq_ghz,feat.cache_mb,feat.base_power_w,feat.turbo_power_w,feat.price_usd,feat.max_mem_gb,feat.gfx_max_dyn_ghz,feat.execution_units,feat.vertical_segment,feat.freq_per_watt,feat.cores_per_watt,feat.cache_per_core
Intel® Xeon® 6760P Processor (320M Cache- 2.20 GHz),Xeon_Processors,64,128,3.8,2.2,320.0,35.0,115.0,7803.0,4.0,1.85,72.0,Server,0.14285714285714285,0.4,5.0
Intel® Xeon® 6761P Processor (336M Cache- 2.50 GHz),Xeon_Processors,64,128,3.9,2.5,336.0,35.0,115.0,1195.0,4.0,1.85,72.0,Server,0.14285714285714285,0.4,5.25
Intel® Xeon® 6766E Processor (108M Cache- 1.90 GHz),Xeon_Processors,144,144,2.7,1.9,108.0,35.0,115.0,7692.0,4.0,1.85,72.0,Server,0.14285714285714285,0.4,0.75
Intel® Xeon® 6767P Processor (336M Cache- 2.40 GHz),Xeon_Processors,64,128,3.9,2.4,336.0,35.0,115.0,1195.0,4.0,1.85,72.0,Server,0.14285714285714285,0.4,5.25
Intel® Xeon® 6768P Processor (336M Cache- 2.40 GHz),Xeon_Processors,64,128,3.9,2.4,336.0,35.0,115.0,16000.0,4.0,1.85,72.0,Server,0.14285714285714285,0.4,5.25
Intel® Xeon® 6774P Processor (336M Cache- 2.50 GHz),Xeon_Processors,64,128,3.9,2.5,336.0,35.0,115.0,1195.0,4.0,1.85,72.0,Server,0.14285714285714285,0.4,5.25
Intel® Xeon® 6776P Processor (336M Cache- 2.30 GHz),Xeon_Processors,64,128,3.9,2.3,336.0,35.0,115.0,1195.0,4.0,1.85,72.0,Server,0.14285714285714285,0.4,5.25
Intel® Xeon® 6780E Processor (108M Cache- 2.20 GHz),Xeon_Processors,144,144,3.0,2.2,108.0,35.0,115.0,8513.0,4.0,1.85,72.0,Server,0.14285714285714285,0.4,0.75
Intel® Xeon® 6781P Processor (336M Cache- 2.00 GHz),Xeon_Processors,80,160,3.8,2.0,336.0,35.0,115.0,1195.0,4.0,1.85,72.0,Server,0.14285714285714285,0.4,4.2
Intel® Xeon® 6787P Processor (336M Cache- 2.00 GHz),Xeon_Processors,86,172,3.8,2.0,336.0,35.0,115.0,1195.0,4.0,1.85,72.0,Server,0.14285714285714285,0.4,3.9069767441860463
Intel® Xeon® 6788P Processor (336M Cache- 2.00 GHz),Xeon_Processors,86,172,3.8,2.0,336.0,35.0,115.0,19000.0,4.0,1.85,72.0,Server,0.14285714285714285,0.4,3.9069767441860463
Intel® Xeon® 6944P Processor (432M Cache- 1.80 GHz),Xeon_Processors,72,144,3.9,1.8,432.0,35.0,115.0,6850.0,3.0,1.85,72.0,Server,0.14285714285714285,0.4,6.0
Intel® Xeon® 6952P Processor (480M Cache- 2.10 GHz),Xeon_Processors,96,192,3.9,2.1,480.0,35.0,115.0,9115.0,3.0,1.85,72.0,Server,0.14285714285714285,0.4,5.0
Intel® Xeon® 6960P Processor (432M Cache- 2.70 GHz),Xeon_Processors,72,144,3.9,2.7,432.0,35.0,115.0,1195.0,3.0,1.85,72.0,Server,0.14285714285714285,0.4,6.0
Intel® Xeon® 6966P-C Processor (432M Cache- 3.00 GHz),Xeon_Processors,96,192,3.9,3.1,432.0,35.0,115.0,1195.0,3.0,1.85,72.0,Server,0.14285714285714285,0.4,4.5
Intel® Xeon® 6972P Processor (480M Cache- 2.40 GHz),Xeon_Processors,96,192,3.9,2.4,480.0,35.0,115.0,10220.0,3.0,1.85,72.0,Server,0.14285714285714285,0.4,5.0
Intel® Xeon® 6978P Processor (504M Cache- 2.10 GHz),Xeon_Processors,120,240,3.9,2.1,504.0,35.0,115.0,11025.0,3.0,1.85,72.0,Server,0.14285714285714285,0.4,4.2
Intel® Xeon® 6979P Processor (504M Cache- 2.10 GHz),Xeon_Processors,120,240,3.9,2.1,504.0,35.0,115.0,11025.0,3.0,1.85,72.0,Server,0.14285714285714285,0.4,4.2
Intel® Xeon® 6980P Processor (504M Cache- 2.00 GHz),Xeon_Processors,128,256,3.9,2.0,504.0,35.0,115.0,12460.0,3.0,1.85,72.0,Server,0.14285714285714285,0.4,3.9375
